IDs,Product Date,Opportunity Owner,Agency Holding Company,Account Name,Opportunity Name,LineItemID,Segment Name,Endpoint
1003089696,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ6GQAU,ShareThis > Interest from Social Data > Ben & Jerry's > Custom > Trending Topics,LiveRamp
1003089686,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ4jQAE,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Arcade & Coin-op Games,LiveRamp
1003089676,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ5XQAU,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Board Games,LiveRamp
1003089646,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ5mQAE,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Card Games,LiveRamp
1003089636,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ61QAE,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Computer & Video Games,LiveRamp
1003089626,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ4tQAE,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Dice Games,LiveRamp
1003089616,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ5SQAU,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Educational Games,LiveRamp
1003089606,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ3bQAE,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Family-Oriented Games & Activities,LiveRamp
1003089556,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ53QAE,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Online Games,LiveRamp
1003089546,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ5IQAU,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Party Games,LiveRamp
