REPORT_DATE,PLATFORM_ID,PLATFORM,PARTNER_NAME,BUYER_NAME,SOURCE,ADVERTISER_NAME,PUBLISHER,AD_ACCOUNT_ID,CAMPAIGN_ID,CAMPAIGN_NAME,CAMPAIGN_START_DATE,CAMPAIGN_END_DATE,DEVICE,AD_FORMAT,COUNTRY_DATA,COUNTRY_USE,DATA_PROVIDER_ID,LIVERAMP_SEGMENT_ID,SEGMENT_NAME,GROSS_DATA_CPM,NET_CPM,IMPRESSIONS,CLICKS,GROSS_MEDIA_SPEND,TOTAL_DATA_REVENUE_EARNED,DATA_PROVIDER_REVENUE,LIVERAMP_REVENUE,DATA_USE,DATA_TYPE,DATA_PROVIDER,REV_SHARE_PREMIUM_BASIC,CONVERSIONS,ATTRIBUTABLE_REVENUE,AOFT,SOURCE_ID,UPLOAD_DATE
30-JUN-18,506926,Centro (SiteScout),,,,freedomjeepchrysler.com                                                                                                        ,,109250,741168,,,,,,USA,,ShareThis,1002823756,ShareThis > Interest from Social Activity > Centro > Vertical > Jeep,0.95,0.95,3291,,,3.13,2.66,0.47,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,southcentralhondadealers.com                                                                                                   ,,109250,774143,,,,,,USA,,ShareThis,1002823716,ShareThis > Interest from Social Activity > Centro > Vertical > Fuel Economy & Gas Prices,0.95,0.95,3606,,,3.4,2.89,0.51,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,extonnissan.com                                                                                                                ,,109250,655900,,,,,,USA,,ShareThis,1002823776,ShareThis > Interest from Social Activity > Centro > Vertical > Nissan,0.95,0.95,4580,,,4.31,3.66,0.65,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,southcentralhondadealers.com                                                                                                   ,,109250,774143,,,,,,USA,,ShareThis,1002823686,ShareThis > Interest from Social Activity > Centro > Vertical > Engine & Transmission,0.95,0.95,4832,,,4.61,3.92,0.69,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,southcentralhondadealers.com                                                                                                   ,,109250,774143,,,,,,USA,,ShareThis,1002823836,ShareThis > Interest from Social Activity > Centro > Vertical > Vehicle Brands,0.95,0.95,5488,,,5.21,4.43,0.78,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,cnstrial.com                                                                                                                   ,,112400,770249,,,,,,USA,,ShareThis,1003084686,Migraines,1.25,1.25,4205,,,5.26,4.47,0.79,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,southcentralhondadealers.com                                                                                                   ,,109250,774143,,,,,,USA,,ShareThis,1002823846,ShareThis > Interest from Social Activity > Centro > Vertical > Vehicle Fuels & Lubricants,0.95,0.95,5713,,,5.46,4.64,0.82,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,cnstrial.com                                                                                                                   ,,112400,770249,,,,,,USA,,ShareThis,1003084676,Foundations & Medical Research,0.95,0.95,7159,,,6.8,5.78,1.02,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,alamotoyota.com                                                                                                                ,,109250,637692,,,,,,USA,,ShareThis,1002823806,ShareThis > Interest from Social Activity > Centro > Vertical > Toyota,0.95,0.95,7794,,,7.4,6.29,1.11,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,cnstrial.com                                                                                                                   ,,112400,770249,,,,,,USA,,ShareThis,1003084666,Hospitals & Treatments,0.95,0.95,8894,,,8.45,7.18,1.27,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,riverviewtoyota.com                                                                                                            ,,109250,774143,,,,,,USA,,ShareThis,1002823866,ShareThis > Interest from Social Activity > Centro > Vertical > Vehicle Shopping,0.95,0.95,9624,,,9.13,7.76,1.37,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,southcentralhondadealers.com                                                                                                   ,,109250,774143,,,,,,USA,,ShareThis,1002823666,ShareThis > Interest from Social Activity > Centro > Vertical > Custom & Performance Vehicles,0.95,0.95,10866,,,10.34,8.79,1.55,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,sigmaphoto.com                                                                                                                 ,,107051,709074,,,,,,USA,,ShareThis,1002729626,ShareThis > Interest from Social Activity > Sigma Photo > Vertical > Camera & Photo Equipment,0.95,0.95,11646,,,11.06,9.4,1.66,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,sigmaphoto.com                                                                                                                 ,,107051,709079,,,,,,USA,,ShareThis,1002729636,ShareThis > Interest from Social Activity > Sigma Photo > Vertical > Photographic & Digital Arts,0.95,0.95,11689,,,11.1,9.44,1.67,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,riversideautoplexofpoteau.com                                                                                                  ,,109250,774143,,,,,,USA,,ShareThis,1002823706,ShareThis > Interest from Social Activity > Centro > Vertical > Ford,0.95,0.95,13597,,,12.91,10.97,1.94,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,sigmaphoto.com                                                                                                                 ,,107051,709071,,,,,,USA,,ShareThis,1002729606,ShareThis > Interest from Social Activity > Sigma Photo > Custom > Sigma,1.25,1.25,10441,,,13.05,11.09,1.96,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,cnstrial.com                                                                                                                   ,,112400,770249,,,,,,USA,,ShareThis,1003084656,Health Conditions,0.95,0.95,14716,,,13.98,11.88,2.1,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,sigmaphoto.com                                                                                                                 ,,107051,709068,,,,,,USA,,ShareThis,1002729596,ShareThis > Interest from Social Activity > Sigma Photo > Custom > Professional Photographers,1.25,1.25,11211,,,14.01,11.91,2.1,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,centraltexashondadealers.com                                                                                                   ,,109250,573704,,,,,,USA,,ShareThis,1002823726,ShareThis > Interest from Social Activity > Centro > Vertical > Honda,0.95,0.95,15881,,,15.08,12.82,2.26,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,bankofannarbor.com                                                                                                             ,,97424,625454,,,,,,USA,,ShareThis,1001014549,ShareThis_US > Real Estate > Real Estate Listings,0.95,0.95,19849,,,18.85,16.02,2.83,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,buickgmcofenglewood.com                                                                                                        ,,109250,713814,,,,,,USA,,ShareThis,1002823826,ShareThis > Interest from Social Activity > Centro > Vertical > Trucks & SUVs,0.95,0.95,23751,,,22.59,19.2,3.39,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,sigmaphoto.com                                                                                                                 ,,107051,701746,,,,,,USA,,ShareThis,1002729616,ShareThis > Interest from Social Activity > Sigma Photo > Custom > Competitors,1.25,1.25,21677,,,27.1,23.04,4.07,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,sigmaphoto.com                                                                                                                 ,,107051,709066,,,,,,USA,,ShareThis,1002729586,ShareThis > Interest from Social Activity > Sigma Photo > Custom > Hobby Photographers,1.25,1.25,21899,,,27.37,23.26,4.11,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,bitcoinira.com                                                                                                                 ,,112605,785647,,,,,,USA,,ShareThis,1003203609,ShareThis > Interest from Social Activity > BitcoinIRA > Custom > BitcoinIRA,1.25,1.25,68604,,,85.75,72.89,12.86,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,506926,Centro (SiteScout),,,,leesfamousrecpie.com                                                                                                           ,,109250,770166,,,,,,USA,,ShareThis,1001013369,ShareThis_US > Food & Drink > Restaurants > Fast Food,0.95,0.95,186202,,,176.89,150.36,26.53,,Third Party,SHARETHIS,,,,,,30-JUN-18
